SchoolName,Area,Type,Affiliations,Parent Volunteer,CCA Sports,CCA Arts,CCA Clubs,CCA Uniformed Groups
Angsana Primary School,Tampines,Mixed-gender,-,,"Badminton, Netball, Football, Wushu","Choir, Concert Band","Infocomm Technology (Media Production), Physical Science","Red Cross Youth, Scouts"
East Spring Primary School,Tampines,Mixed-gender,-,,"Football, Wushu, Volleyball","Choir, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Physical Science",Scouts
Rosyth School,Serangoon,Mixed-gender,-,"70h, interview","Badminton, Basketball, Football, Track and Field, Tennis","Chinese Orchestra, Choir, Chinese Dance, Indian Dance, Malay Dance, Concert Band, Comics and Illustration","Art and Crafts, International Chess, Debating and Public Speaking, English Language, Drama and Debating, Mathematics, Infocomm Technology (Computing), Robotics, Environmental Science, Journalism","Scouts, Girl Guides (Brownies)"
Pei Chun Public School,Toa Payoh,"Gov-aided, Mixed-gender, SAP",-,,"Basketball, Table Tennis, Wushu, Volleyball","Chinese Orchestra, Choir, Chinese Dance","Art and Crafts, Chinese Calligraphy and Brush Painting, Chinese Weiqi","Scouts, Girl Guides (Brownies)"
Ang Mo Kio Primary School,Ang Mo Kio,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Track and Field, Table Tennis","Brass Band, Modern Dance, English Drama","Art and Crafts, Infocomm Technology (Computing), Robotics","Red Cross Youth, Scouts"
Qihua Primary School,Woodlands,Mixed-gender,-,,,,Speech and Drama,
Tao Nan School,Marine Parade,"Gov-aided, Mixed-gender, SAP",-,"Singapore Hokkein Huay Kuan, 2y membership, 80h 🔗","Badminton, Basketball, Netball, Sailing, Track and Field, Wushu","Chinese Orchestra, Choir, Guzheng Ensemble","Art and Crafts, Media Resource Library, Physical Science","Boys’ Brigade, Girls’ Brigade, Scouts, Girl Guides (Brownies)"
Kranji Primary School,Choa Chu Kang,Mixed-gender,-,,"Basketball, Football","Percussion Ensemble, Modern Dance","Art and Crafts, Infocomm Technology (Computing), Physical Science",Scouts
North View Primary School,Yishun,Mixed-gender,-,,"Basketball, Football, Floorball, Outdoor Adventure","Choir, Guzheng Ensemble, English Drama","Art and Crafts, Infocomm Technology (Computing)","Boys’ Brigade, Girls’ Brigade, Scouts"
"CHIJ (Katong) Primary - Girls only, Affiliated",Bedok,"Gov-aided, Girls only",CHIJ Katong Convent,,"Badminton, Netball, Sailing, Track and Field, Bowling, Artistic Gymnastics","Choir, Handbell Ensemble","Art and Crafts, Infocomm Technology (Computing), Home Economics",Girl Guides (Brownies)
Riverside Primary School,Woodlands,Mixed-gender,-,40h,"Badminton, Basketball, Netball, Football, Track and Field, Floorball","Choir, String Ensemble, Modern Dance, English Drama","Art and Crafts, Robotics, Design, Environmental Science, Home Economics",Scouts
Huamin Primary School,Yishun,Mixed-gender,-,,"Badminton, Hockey, Floorball, Bowling","Angklung/Kulintang Ensemble, Guitar Ensemble, Chinese Dance, Indian Dance, English Drama","Art and Crafts, Ceramics, Robotics, Chinese Weiqi, Media Resource Library",Scouts
Northland Primary School,Yishun,Mixed-gender,-,"70h, apply in Mar","Basketball, Netball, Football, Track and Field, Wushu, Silat","Choir, String Ensemble, Handbell Ensemble, Chinese Dance","Art and Crafts, International Chess, Media Resource Library","Scouts, Girl Guides (Brownies)"
Yu Neng Primary School,Bedok,Mixed-gender,-,,"Badminton, Table Tennis, Volleyball, Floorball","Chinese Orchestra, Choir, Modern Dance, Malay Dance","Art and Crafts, Mathematics, Infocomm Technology (Computing), Physical Science",Scouts
Blangah Rise Primary School,Bukit Merah,Mixed-gender,-,,"Badminton, Basketball, Football",Modern Dance,"Art and Crafts, Infocomm Technology (Media Production), Physical Science","Red Cross Youth, Scouts"
"CHIJ Our Lady of Good Counsel - Girls only, Affiliated",Serangoon,"Gov-aided, Girls only",CHIJ St. Joseph’s Convent,40h,"Badminton, Netball, Bowling, Rhythmic Gymnastics","Choir, Modern Dance, English Drama","Art and Crafts, Robotics, Infocomm Technology (Media Production)",Girl Guides (Brownies)
Chongzheng Primary School,Tampines,Mixed-gender,-,,"Hockey, Rugby, Wushu, Modular CCA (Sports)","Angklung/Kulintang Ensemble, Choir, Modern Dance, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Speech and Drama, Digital Media, Environmental Science","Scouts, Girl Guides (Brownies)"
Opera Estate Primary School,Bedok,Mixed-gender,-,,,,,
Ngee Ann Primary School - Affiliated,Marine Parade,"Gov-aided, Mixed-gender",Ngee Ann Secondary School,,"Badminton, Football, Track and Field, Table Tennis, Wushu, Floorball, Modular CCA (Sports)","Chinese Orchestra, Choir, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, English Language, Drama and Debating, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Greenridge Primary School,Bukit Panjang,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Wushu, Rockwall Climbing","Chinese Orchestra, Brass Band, Chinese Dance, Malay Dance, English Drama","Art and Crafts, Robotics, Media Resource Library, Infocomm Technology (Media Production), Physical Science","Boys’ Brigade, Girls’ Brigade, Scouts"
Punggol View Primary School,Punggol,Mixed-gender,-,,"Badminton, Wushu, Floorball",Choir,"Art and Crafts, Community Service",Scouts
Pei Tong Primary School,Clementi,Mixed-gender,-,,"Badminton, Basketball, Rugby, Table Tennis","Angklung/Kulintang Ensemble, Chinese Orchestra, Choir",Art and Crafts,"Boys’ Brigade, Girls’ Brigade, Girl Guides (Brownies)"
Kong Hwa School,Geylang,"Gov-aided, Mixed-gender, SAP",-,"Singapore Hokkein Huay Kuan, 2y membership, 80h 🔗","Badminton, Basketball, Netball, Table Tennis, Wushu, Tchoukball","Chinese Orchestra, Choir, Guzheng Ensemble, Chinese Dance","Art and Crafts, Chinese Calligraphy and Brush Painting, Chinese Chess, Chinese Weiqi","Scouts, Girl Guides (Brownies)"
"Methodist Girls’ School (Primary) - Girls only, Affiliated",Bukit Timah,"Gov-aided, Girls only",Methodist Girls’ School (Secondary),"40h, apply in Apr","Netball, Softball, Swimming, Tennis, Floorball, Bowling, Artistic Gymnastics, Rhythmic Gymnastics, Artistic Swimming","Choir, Handbell Ensemble, Modern Dance, Dance - International, Tap Dance","Art and Crafts, Christian Fellowship, Infocomm Technology (Media Production)","Girls’ Brigade, Girl Guides (Brownies)"
Pasir Ris Primary School,Pasir Ris,Mixed-gender,-,40h,"Netball, Football, Taekwondo, Wushu, Floorball","Choir, Guzheng Ensemble",Infocomm Technology (Media Production),
Rivervale Primary School,Sengkang,Mixed-gender,-,,"Badminton, Basketball, Hockey, Netball, Football, Taekwondo","Choir, Brass Band, Guzheng Ensemble, Ballet, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Debating and Public Speaking, Ceramics, Infocomm Technology (Computing), Robotics, Speech and Drama",Red Cross Youth
Evergreen Primary School,Woodlands,Mixed-gender,-,,"Badminton, Netball, Football","Chinese Orchestra, Chinese Dance, Indian Dance, Malay Dance",,Scouts
"St. Andrew’s Junior School - Boys only, Affiliated",Toa Payoh,"Gov-aided, Boys only",St. Andrew’s Secondary School,,"Badminton, Basketball, Hockey, Rugby, Swimming, Modular CCA (Sports)","Choir, Concert Band","Art and Crafts, International Chess, Digital Media, Environmental Science","Boys’ Brigade, Scouts"
River Valley Primary School,Central,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Wushu, Volleyball, Floorball","Choir, English Drama","Art and Crafts, Infocomm Technology (Computing)","Red Cross Youth, Scouts, Girl Guides (Brownies)"
Farrer Park Primary School,Kallang,Mixed-gender,-,,,,,
White Sands Primary School,Pasir Ris,Mixed-gender,-,,"Netball, Football, Table Tennis, Tchoukball","Angklung/Kulintang Ensemble, Choir, Guzheng Ensemble, Modern Dance, Chinese Dance, Malay Dance","Art and Crafts, Infocomm Technology (Computing), Environmental Science, Infocomm Technology (Media Production)",Scouts
Zhenghua Primary School,Bukit Panjang,Mixed-gender,-,,"Basketball, Rugby, Football, Floorball","Choir, Brass Band, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Robotics","Red Cross Youth, Girl Guides (Brownies)"
Naval Base Primary School,Yishun,Mixed-gender,-,,"Basketball, Football, Taekwondo, Golf",Concert Band,Art and Crafts,"Boys’ Brigade, Girls’ Brigade, Red Cross Youth"
"St. Margaret’s Primary School - Girls only, Affiliated",Central,"Gov-aided, Girls only",St. Margaret’s Secondary School,,"Netball, Tennis, Bowling","Choir, Harmonica Ensemble, Chinese Dance",,"Girls’ Brigade, Girl Guides (Brownies)"
Ai Tong School,Bishan,"Gov-aided, Mixed-gender, SAP",-,"Singapore Hokkein Huay Kuan, 2y membership, 80h 🔗","Badminton, Track and Field, Table Tennis, Wushu, Volleyball, Artistic Gymnastics","Choir, Guzheng Ensemble, Chinese Dance","Art and Crafts, Robotics","Scouts, Girl Guides (Brownies)"
Nan Chiau Primary School,Sengkang,"Gov-aided, Mixed-gender",-,"Singapore Hokkein Huay Kuan, 2y membership, 80h 🔗","Badminton, Basketball, Netball, Football, Track and Field, Wushu","Choir, Guzheng Ensemble","Art and Crafts, Digital Media, Environmental Science",Girl Guides (Brownies)
Compassvale Primary School,Sengkang,Mixed-gender,-,,"Basketball, Netball, Football, Track and Field, Wushu, Golf","Harmonica Ensemble, Brass Band, Chinese Dance, Indian Dance, Malay Dance","Robotics, Physical Science",Red Cross Youth
Canberra Primary School,Sembawang,Mixed-gender,-,,"Badminton, Basketball, Football, Track and Field, Floorball","Choir, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, English Language, Drama and Debating, Infocomm Technology (Computing), Robotics, Media Resource Library, Home Economics","Scouts, Girl Guides (Brownies)"
Yumin Primary School,Tampines,Mixed-gender,-,,,,,Red Cross Youth
Meridian Primary School,Pasir Ris,Mixed-gender,-,,,,,
"CHIJ Our Lady Of The Nativity - Girls only, Affiliated",Hougang,"Gov-aided, Girls only",CHIJ St. Joseph’s Convent,,"Netball, Table Tennis, Floorball, Bowling","Choir, Brass Band, Modern Dance",Art and Crafts,Girl Guides (Brownies)
Shuqun Primary School,Jurong West,Mixed-gender,-,,"Basketball, Netball, Football, Wushu, Silat","Choir, Brass Band, Modern Dance","Art and Crafts, Publication, Media Resource Library, Environmental Science","Boys’ Brigade, Girls’ Brigade, Scouts, Girl Guides (Brownies)"
Yishun Primary School,Yishun,Mixed-gender,-,,"Basketball, Football, Floorball","Angklung/Kulintang Ensemble, Gamelan Ensemble, Modern Dance, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, International Chess, Infocomm Technology (Computing), Environmental Science",Scouts
Woodlands Ring Primary School,Woodlands,Mixed-gender,-,,"Basketball, Football, Rope Skipping","Choir, Dance - International, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, Computer Club, Physical Science",Scouts
Greendale Primary School,Punggol,Mixed-gender,-,,"Badminton, Netball, Softball, Table Tennis, Wushu, Volleyball, Tchoukball","Choir, Guitar Ensemble, Harmonica Ensemble","International Chess, Chinese Calligraphy and Brush Painting, Infocomm Technology (Computing)","Boys’ Brigade, Girls’ Brigade, Red Cross Youth"
Endeavour Primary School,Sembawang,Mixed-gender,-,,"Badminton, Basketball, Rugby, Sailing, Table Tennis, Wushu, Volleyball, Floorball","Choir, Guitar Ensemble, Guzheng Ensemble, Chinese Dance, Malay Dance, English Drama","Art and Crafts, Infocomm Technology (Computing)","Scouts, Girl Guides (Brownies)"
West Spring Primary School,Bukit Panjang,Mixed-gender,-,,"Badminton, Basketball, Football, Wushu","Choir, Ensemble -Mixed Instrument, Dance - International","Art and Crafts, Outdoor Activities Club, Chinese Calligraphy and Brush Painting, Robotics, Environmental Science, Mind Sports Club, Photo and Video Society",
Sengkang Green Primary School,Sengkang,Mixed-gender,-,,"Basketball, Football, Wushu, Floorball","Choir, String Ensemble, Guzheng Ensemble, Chinese Dance, Indian Dance, English Drama","Art and Crafts, Robotics",Scouts
Yew Tee Primary School,Choa Chu Kang,Mixed-gender,-,,"Badminton, Football, Wushu, Floorball, Rockwall Climbing","Angklung/Kulintang Ensemble, Choir, Dance - International","Art and Crafts, Infocomm Technology (Computing), Robotics, Media Resource Library",Boys’ Brigade
Unity Primary School,Choa Chu Kang,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Floorball","Angklung/Kulintang Ensemble, Choir, Chinese Dance, Malay Dance","Art and Crafts, English Language, Drama and Debating, Mathematics, Environmental Science, Infocomm Technology (Media Production)",Scouts
"Catholic High School - Boys only, Affiliated",Bishan,"Autonomous, Gov-aided, Boys only, SAP",Catholic High School,,"Basketball, Softball, Table Tennis, Wushu, Volleyball, Modular CCA (Sports)","Chinese Orchestra, Choir, Modern Dance, Concert Band",Infocomm Technology (Computing),Scouts
Horizon Primary School,Punggol,Mixed-gender,-,,"Badminton, Basketball, Football, Swimming, Wushu, Bowling, Rope Skipping","Guitar Ensemble, Modern Dance, Tap Dance","Art and Crafts, International Chess, Debating and Public Speaking, Infocomm Technology (Computing), Robotics, Design and Innovation, Speech and Drama, Environmental Science, Community Service",Scouts
Jing Shan Primary School,Ang Mo Kio,Mixed-gender,-,,"Badminton, Basketball, Football, Rope Skipping, Tchoukball","Guzheng Ensemble, Modern Dance, Chinese Dance, Cultural Dance","Art and Crafts, Ceramics, Robotics, Design and Innovation, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Fengshan Primary School,Bedok,Mixed-gender,-,,"Basketball, Netball, Football, Wushu, Health and Fitness","Choir, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, Photography, Environmental Science","Boys’ Brigade, Red Cross Youth, Scouts, Girl Guides (Brownies)"
Fairfield Methodist School (Primary) - Affiliated,Queenstown,"Gov-aided, Mixed-gender",Fairfield Methodist School (Secondary),40h,"Badminton, Basketball, Football, Volleyball, Modular CCA (Sports)","Choir, Handbell Ensemble, Chinese Dance, Concert Band",Art and Crafts,"Boys’ Brigade, Girls’ Brigade, Red Cross Youth"
Queenstown Primary School,Queenstown,Mixed-gender,-,,"Badminton, Basketball, Football, Softball, Swimming","Chinese Orchestra, Choir, Modern Dance, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Mathematics, Infocomm Technology (Computing), Chinese Weiqi, Environmental Science","Boys’ Brigade, Girls’ Brigade"
Xinghua Primary School,Hougang,Mixed-gender,-,,"Softball, Wushu, Volleyball","Angklung/Kulintang Ensemble, Choir, Guzheng Ensemble","Art and Crafts, Infocomm Technology (Computing)","Boys’ Brigade, Girls’ Brigade"
Changkat Primary School,Tampines,Mixed-gender,-,,"Basketball, Track and Field, Wushu, Modular CCA (Sports)","Choir, Guitar Ensemble, Modern Dance",Art and Crafts,
Fuhua Primary School,Jurong East,Mixed-gender,-,,"Badminton, Netball, Football","Choir, Brass Band, Guzheng Ensemble, Modern Dance, Chinese Dance","Art and Crafts, Infocomm Technology (Computing), Design and Innovation, Environmental Science, Infocomm Technology (Media Production)",
Xingnan Primary School,Jurong West,Mixed-gender,-,,"Badminton, Basketball, Football, Table Tennis, Volleyball","Brass Band, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Ceramics, Environmental Science, Infocomm Technology (Media Production)",Scouts
Zhangde Primary School,Bukit Merah,Mixed-gender,-,,"Badminton, Basketball, Football, Table Tennis, Wushu, Volleyball, Floorball, Rope Skipping","Choir, Chinese Dance, Malay Dance",Art and Crafts,"Boys’ Brigade, Girls’ Brigade"
Teck Whye Primary School,Choa Chu Kang,Mixed-gender,-,,"Badminton, Basketball, Football, Track and Field, Modular CCA (Sports)","Choir, Chinese Dance, Malay Dance","Audio Visual Aid, Infocomm Technology (Computing), Design and Innovation, Speech and Drama, English Culture and Language, Environmental Science, Infocomm Technology (Media Production), Technology Club, Broadcasting",Scouts
Casuarina Primary School,Pasir Ris,Mixed-gender,-,,"Badminton, Rugby, Football, Wushu, Floorball","Choir, Modern Dance, Chinese Dance, Malay Dance, Concert Band","Art and Crafts, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Beacon Primary School,Bukit Panjang,Mixed-gender,-,,"Basketball, Netball, Football, Wushu, Tchoukball, Outdoor Adventure","Choir, Percussion Ensemble, Chinese Dance, Malay Dance, Ukulele Ensemble","Art and Crafts, Robotics, Environmental Science",Scouts
Mee Toh School - Affiliated,Punggol,"Gov-aided, Mixed-gender",Manjusri Secondary School,"60h, apply in Jul, drop in box at Main Gate during the 3 days! 🔗","Badminton, Basketball, Wushu, Floorball","Chinese Orchestra, Choir, Modern Dance, Chinese Dance, Malay Dance, English Drama","Art and Crafts, Heritage, Publication, Robotics, Media Resource Library, Environmental Science, Infocomm Technology (Media Production)",Scouts
Nan Hua Primary School,Clementi,"Gov-aided, Mixed-gender, SAP",-,"40h, requires interview, apply in Mar",,,,
Edgefield Primary School,Punggol,Mixed-gender,-,,"Fencing, Football, Rope Skipping","Angklung/Kulintang Ensemble, Choir, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Infocomm Technology (Computing), Physical Science",
Kuo Chuan Presbyterian Primary School - Affiliated,Bishan,"Gov-aided, Mixed-gender",Kuo Chuan Presbyterian Secondary School,,"Badminton, Basketball, Football, Swimming, Track and Field, Table Tennis, Artistic Gymnastics, Rope Skipping","Choir, Guitar Ensemble, Chinese Dance, Indian Dance, English Drama, Concert Band","Art and Crafts, Digital Media, Physical Science, Strategy Games","Boys’ Brigade, Girls’ Brigade"
"CHIJ (Kellock) - Girls only, Affiliated",Bukit Merah,"Gov-aided, Girls only",CHIJ St. Theresa’s Convent,,"Netball, Swimming, Tennis, Artistic Gymnastics, Rhythmic Gymnastics","Choir, String Ensemble","Art and Crafts, Ceramics, Home Economics",Girl Guides (Brownies)
"Anglo-Chinese School (Primary) - Boys only, Affiliated",Novena,"Gov-aided, Boys only","Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)",,"Badminton, Basketball, Rugby, Football, Softball, Swimming, Track and Field, Tennis, Floorball, Bowling","Choir, Guitar Ensemble, String Ensemble, Modern Dance","Art and Crafts, Audio Visual Aid, International Chess, Infocomm Technology (Computing), Robotics, Physical Science","Boys’ Brigade, Scouts"
Nanyang Primary School - Affiliated,Bukit Timah,"Gov-aided, Mixed-gender, SAP",Nanyang Girls’ High School,"80h, requires CV & interview","Badminton, Basketball, Football, Swimming, Track and Field, Table Tennis, Tennis, Wushu, Artistic Gymnastics","Chinese Orchestra, Choir, String Ensemble, Chinese Dance","Art and Crafts, International Chess, Chinese Calligraphy and Brush Painting, Robotics, Chinese Weiqi","Boys’ Brigade, Girls’ Brigade, Scouts, Girl Guides (Brownies)"
Bukit View Primary School,Bukit Batok,Mixed-gender,-,,"Badminton, Netball, Football, Wushu","Angklung/Kulintang Ensemble, Choir, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Strategy Games",Red Cross Youth
West Grove Primary School,Jurong West,Mixed-gender,-,,"Badminton, Football, Rope Skipping","Choir, String Ensemble, Guzheng Ensemble","Art and Crafts, Robotics, Environmental Science, Infocomm Technology (Media Production)","Boys’ Brigade, Girls’ Brigade, Scouts, Girl Guides (Brownies)"
North Vista Primary School,Sengkang,Mixed-gender,-,,"Rugby, Softball","Choir, Chinese Dance","Art and Crafts, English Culture and Language, Environmental Science","Boys’ Brigade, Girls’ Brigade, Scouts"
St. Anthony’s Primary School - Affiliated,Bukit Batok,"Gov-aided, Mixed-gender","St. Joseph’s Institution, St. Patrick’s School",,"Badminton, Football, Taekwondo, Floorball, Tchoukball, Modular CCA (Sports)","Choir, Brass Band, Modern Dance, Chinese Dance","Art and Crafts, English Language, Drama and Debating, Infocomm Technology (Computing), Robotics, Environmental Science","Scouts, Girl Guides (Brownies)"
Woodgrove Primary School,Woodlands,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Table Tennis, Taekwondo, Wushu, Rope Skipping","Chinese Orchestra, Choir, Modern Dance, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Mathematics, Chinese Culture and Language, Robotics, Dikir Barat, Digital Media, Media Resource Library, Physical Science","Scouts, Girl Guides (Brownies)"
Princess Elizabeth Primary School,Bukit Batok,Mixed-gender,-,,,,,
Keming Primary School,Bukit Batok,Mixed-gender,-,,"Badminton, Wushu, Floorball",Chinese Dance,"Art and Crafts, Infocomm Technology (Media Production), Physical Science","Boys’ Brigade, Girls’ Brigade, Scouts"
"CHIJ St. Nicholas Girls’ School - Girls only, Affiliated",Ang Mo Kio,"Autonomous, Gov-aided, Girls only, SAP",CHIJ St. Nicholas Girls’ School,"40h + 20h after getting a place, apply by Dec",,"Guzheng Ensemble, Chinese Dance, English Drama","Art and Crafts, Audio Visual Aid, Chinese Culture and Language, Media Resource Library, Innovators’ Club",Girl Guides (Brownies)
Telok Kurau Primary School,Bedok,Mixed-gender,-,,"Basketball, Football, Wushu","Choir, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Lion and Dragon Dance, Robotics","Scouts, Girl Guides (Brownies)"
Red Swastika School,Bedok,"Gov-aided, Mixed-gender, SAP",-,40h,"Badminton, Track and Field, Table Tennis, Wushu, Bowling","Chinese Orchestra, Guzheng Ensemble, Modern Dance, Chinese Dance","Art and Crafts, Chinese Culture and Language, Robotics, Design and Innovation","Scouts, Girl Guides (Brownies)"
Cantonment Primary School,Bukit Merah,Mixed-gender,-,,"Badminton, Basketball, Hockey, Football, Softball, Wushu, Volleyball","Choir, Guitar Ensemble","Infocomm Technology (Media Production), Physical Science","Red Cross Youth, Scouts"
Jiemin Primary School,Yishun,Mixed-gender,-,,"Basketball, Taekwondo, Floorball, Modular CCA (Sports)","Angklung/Kulintang Ensemble, Guzheng Ensemble, Modern Dance, Chinese Dance, Malay Dance","Art and Crafts, Robotics, Journalism",Red Cross Youth
